top_position,name,weeks_in_top,weekly_views,url_tarjeta
60,Cosculluela,448,"3,567,918",https://charts.youtube.com/artist/%2Fm%2F04gp5x5
76,Jhon Alex Castaño,449,"3,527,956",https://charts.youtube.com/artist/%2Fg%2F11bt_97ldr
73,Kany Garcia,333,"3,502,395",https://charts.youtube.com/artist/%2Fm%2F02x227g
72,Hades66,92,"3,490,684",https://charts.youtube.com/artist/%2Fg%2F11p662k3h6
65,Luister La Voz,163,"3,481,786",https://charts.youtube.com/artist/%2Fg%2F11cn365gb3
67,Sech,355,"3,446,006",https://charts.youtube.com/artist/%2Fg%2F11fl8_rx24
71,Joan Sebastian,435,"3,430,408",https://charts.youtube.com/artist/%2Fm%2F01lk985
70,Plan B,311,"3,402,121",https://charts.youtube.com/artist/%2Fg%2F11bc59sr5_
79,Grupo Frontera,146,"3,333,919",https://charts.youtube.com/artist/%2Fg%2F11sgvcmrch
68,Darell,398,"3,292,310",https://charts.youtube.com/artist/%2Fg%2F11gmzljldl
74,Marc Anthony,464,"3,270,939",https://charts.youtube.com/artist/%2Fm%2F01wv9p
80,Miguel Morales,413,"3,197,752",https://charts.youtube.com/artist/%2Fm%2F01vjscw
75,Ñejo,348,"3,163,727",https://charts.youtube.com/artist/%2Fm%2F01v77sd
77,Jesús Adrián Romero,461,"3,121,440",https://charts.youtube.com/artist/%2Fm%2F01myf7q
78,Camilo,337,"3,084,488",https://charts.youtube.com/artist/%2Fm%2F0g5x9ny
82,Christian Nodal,403,"3,081,641",https://charts.youtube.com/artist/%2Fg%2F11fx8hgh71
90,Los Hermanos Zuleta,250,"2,970,326",https://charts.youtube.com/artist/%2Fm%2F01ssb8n
-,Fonseca,444,"2,963,357",https://charts.youtube.com/artist/%2Fm%2F08_ncy
81,Chencho Corleone,302,"2,931,877",https://charts.youtube.com/artist/%2Fm%2F0rqkf34
99,Emilio Oviedo,225,"2,916,793",https://charts.youtube.com/artist/%2Fg%2F11b7_vldxg
83,Canserbero,464,"2,916,551",https://charts.youtube.com/artist/%2Fm%2F0nhqs5r
92,JeankCenteno,248,"2,906,622",https://charts.youtube.com/artist/%2Fm%2F03y9nfg
86,Jessi Uribe,399,"2,867,656",https://charts.youtube.com/artist/%2Fg%2F11j0j0zryr
85,Andrés Cepeda,464,"2,848,370",https://charts.youtube.com/artist/%2Fm%2F098gmj
89,Jorge Celedón,338,"2,840,873",https://charts.youtube.com/artist/%2Fm%2F03y9ls_
84,Maná,439,"2,838,128",https://charts.youtube.com/artist/%2Fm%2F057dj2
87,Morat,405,"2,824,162",https://charts.youtube.com/artist/%2Fg%2F11cp5w6x0d
98,Keyvin Ce,194,"2,785,074",https://charts.youtube.com/artist/%2Fg%2F11h84ffxy4
100,ROA,31,"2,778,713",https://charts.youtube.com/artist/%2Fg%2F11smrx_8pq
88,Victor Valverde,23,"2,777,315",https://charts.youtube.com/artist/%2Fg%2F11nmpqlny5
-,Los Betos,267,"2,738,432",https://charts.youtube.com/artist/%2Fm%2F01qckq0
-,Yandel,369,"2,713,875",https://charts.youtube.com/artist/%2Fm%2F01v6crh
95,Jon Z,381,"2,659,989",https://charts.youtube.com/artist/%2Fg%2F11b7_s_gb6
93,Justin Quiles,404,"2,659,826",https://charts.youtube.com/artist/%2Fm%2F012pbw04
-,SOG,40,"2,649,138",https://charts.youtube.com/artist/%2Fg%2F11b7_sjkb9
