fecha,moneda,valor
2025-07-31,COP,4782.571319
2025-07-31,MXN,21.554247
2025-07-30,USD,1.142871
2025-07-30,COP,4786.913584
2025-07-30,MXN,21.538429
2025-07-29,USD,1.155028
2025-07-29,COP,4777.775226
2025-07-29,MXN,21.656551
2025-07-29,USD,1.155028
2025-07-29,COP,4777.775226
2025-07-29,MXN,21.656551
2025-07-28,USD,1.159622
2025-07-28,COP,4841.817707
2025-07-28,MXN,21.756848
2025-07-27,USD,1.17562
2025-07-27,COP,4779.436055
2025-07-27,MXN,21.77025
2025-07-26,USD,1.174668
2025-07-26,COP,4775.561579
2025-07-26,MXN,21.791567
2025-07-25,USD,1.174668
2025-07-25,COP,4825.831318
2025-07-25,MXN,21.777064
2025-07-24,USD,1.175558
2025-07-24,COP,4788.939596
2025-07-24,MXN,21.798912
2025-07-23,USD,1.17737
2025-07-23,COP,4754.280042
2025-07-23,MXN,21.829463
2025-07-22,USD,1.173874
2025-07-22,COP,4780.673116
2025-07-22,MXN,21.888927
2025-07-21,USD,1.169427
2025-07-21,COP,4719.034991
2025-07-21,MXN,21.834714
2025-07-20,USD,1.163021
2025-07-20,COP,4677.391488
2025-07-20,MXN,21.772106
2025-07-19,USD,1.162261
2025-07-19,COP,4674.330945
2025-07-19,MXN,21.795313
2025-07-18,USD,1.162261
2025-07-18,COP,4657.181754
2025-07-18,MXN,21.795313
2025-07-17,USD,1.161507
2025-07-17,COP,4671.767939
2025-07-17,MXN,21.785909
2025-07-16,USD,1.163536
2025-07-16,COP,4671.164862
2025-07-16,MXN,21.784413
2025-07-15,USD,1.160699
2025-07-15,COP,4684.000428
2025-07-15,MXN,21.828603
2025-07-14,USD,1.166592
2025-07-14,COP,4678.615769
2025-07-14,MXN,21.873371
2025-07-13,USD,1.168155
2025-07-13,COP,4688.297987
2025-07-13,MXN,21.801298
2025-07-12,USD,1.169038
2025-07-12,COP,4691.84559
2025-07-12,MXN,21.771042
2025-07-11,USD,1.169038
2025-07-11,COP,4674.983423
2025-07-11,MXN,21.79146
2025-07-10,USD,1.170134
2025-07-10,COP,4698.908255
2025-07-10,MXN,21.769155
2025-07-09,USD,1.173076
2025-07-09,COP,4719.577917
2025-07-09,MXN,21.850698
2025-07-08,USD,1.172402
2025-07-08,COP,4750.13996
2025-07-08,MXN,21.825092
2025-07-07,USD,1.173599
2025-07-07,COP,4732.066693
2025-07-07,MXN,21.883799
2025-07-06,USD,1.178023
2025-07-06,COP,4714.033749
2025-07-06,MXN,21.924129
2025-07-05,USD,1.177925
2025-07-05,COP,4689.39895
2025-07-05,MXN,21.952406
2025-07-04,USD,1.177925
2025-07-04,COP,4712.218658
2025-07-04,MXN,21.946398
2025-07-03,USD,1.177094
2025-07-03,COP,4696.603416
2025-07-03,MXN,21.952519
2025-07-02,USD,1.179983
2025-07-02,COP,4709.015952
2025-07-02,MXN,22.15788
2025-07-01,USD,1.180526
2025-07-01,COP,4757.553786
2025-07-01,MXN,22.126707
2025-06-30,USD,1.178661
2025-06-30,COP,4820.135877
2025-06-30,MXN,22.10299
2025-06-29,USD,1.172691
2025-06-29,COP,4734.374495
2025-06-29,MXN,22.063238
2025-06-28,USD,1.171915
2025-06-28,COP,4731.24812
2025-06-28,MXN,22.056088
2025-06-27,USD,1.171915
2025-06-27,COP,4791.082086
2025-06-27,MXN,22.061348
2025-06-26,USD,1.169146
2025-06-26,COP,4722.181627
2025-06-26,MXN,22.07693
2025-06-25,USD,1.168347
2025-06-25,COP,4741.081606
2025-06-25,MXN,22.098242
2025-06-24,USD,1.161164
2025-06-24,COP,4735.573992
2025-06-24,MXN,22.055729
2025-06-23,USD,1.159851
2025-06-23,COP,4736.831439
2025-06-23,MXN,22.137705
2025-06-22,USD,1.150014
2025-06-22,COP,4695.125668
2025-06-22,MXN,22.111983
2025-06-21,USD,1.152467
2025-06-21,COP,4705.142985
2025-06-21,MXN,22.09786
2025-06-20,USD,1.152467
2025-06-20,COP,4701.775625
2025-06-20,MXN,22.112036
2025-06-19,USD,1.151143
2025-06-19,COP,4700.117869
2025-06-19,MXN,21.912587
2025-06-18,USD,1.147664
2025-06-18,COP,4671.245847
2025-06-18,MXN,21.831861
2025-06-17,USD,1.148211
2025-06-17,COP,4709.962958
2025-06-17,MXN,21.841093
2025-06-16,USD,1.155068
2025-06-16,COP,4736.35552
2025-06-16,MXN,21.861564
2025-06-15,USD,1.155537
2025-06-15,COP,4778.745066
2025-06-15,MXN,21.893983
2025-06-14,USD,1.15553
2025-06-14,COP,4778.715365
2025-06-14,MXN,21.898152
2025-06-13,USD,1.15553
2025-06-13,COP,4764.248271
2025-06-13,MXN,21.898152
2025-06-12,USD,1.159972
2025-06-12,COP,4822.004223
2025-06-12,MXN,21.907518
2025-06-11,USD,1.150874
2025-06-11,COP,4808.926177
2025-06-11,MXN,21.754196
2025-06-10,USD,1.143707
2025-06-10,COP,4806.999408
2025-06-10,MXN,21.800649
2025-06-09,USD,1.142739
2025-06-09,COP,4730.438714
2025-06-09,MXN,21.772387
2025-06-08,USD,1.140706
2025-06-08,COP,4699.263998
2025-06-08,MXN,21.789202
2025-06-07,USD,1.140445
2025-06-07,COP,4698.19289
2025-06-07,MXN,21.794767
2025-06-06,USD,1.140445
2025-06-06,COP,4702.694912
2025-06-06,MXN,21.794767
2025-06-05,USD,1.145331
2025-06-05,COP,4703.014868
2025-06-05,MXN,21.937442
2025-06-04,USD,1.142166
2025-06-04,COP,4692.78228
2025-06-04,MXN,21.931353
2025-06-03,USD,1.138395
2025-06-03,COP,4696.86994
2025-06-03,MXN,21.901921
2025-06-02,USD,1.145214
2025-06-02,COP,4732.046631
2025-06-02,MXN,21.996146
2025-06-01,USD,1.135138
2025-06-01,COP,4668.79582
2025-06-01,MXN,22.064298
2025-05-31,USD,1.134758
2025-05-31,COP,4714.920368
2025-05-31,MXN,22.055785
2025-05-30,USD,1.134758
2025-05-30,COP,4714.920368
2025-05-30,MXN,22.04847
2025-05-29,USD,1.137774
2025-05-29,COP,4699.573563
2025-05-29,MXN,21.976207
2025-05-28,USD,1.123312
2025-05-28,COP,4633.918391
2025-05-28,MXN,21.778371
2025-05-27,USD,1.133646
2025-05-27,COP,4662.684542
2025-05-27,MXN,21.836594
2025-05-26,USD,1.138783
2025-05-26,COP,4728.227776
2025-05-26,MXN,21.919522
2025-05-25,USD,1.137217
2025-05-25,COP,4729.183278
2025-05-25,MXN,21.857072
2025-05-24,USD,1.137004
2025-05-24,COP,4741.443703
2025-05-24,MXN,21.880062
2025-05-23,USD,1.137004
2025-05-23,COP,4741.443703
2025-05-23,MXN,21.877499
2025-05-22,USD,1.128127
2025-05-22,COP,4711.509716
2025-05-22,MXN,21.800718
2025-05-21,USD,1.133061
2025-05-21,COP,4727.980375
2025-05-21,MXN,21.947847
2025-05-20,USD,1.128764
2025-05-20,COP,4711.121145
2025-05-20,MXN,21.754442
2025-05-19,USD,1.123267
2025-05-19,COP,4684.024931
2025-05-19,MXN,21.677954
2025-05-18,USD,1.118689
2025-05-18,COP,4714.559692
2025-05-18,MXN,21.766059
2025-05-17,USD,1.116315
2025-05-17,COP,4704.554582
2025-05-17,MXN,21.737346
2025-05-16,USD,1.116315
2025-05-16,COP,4704.554582
2025-05-16,MXN,21.73009
2025-05-15,USD,1.119232
2025-05-15,COP,4702.45211
2025-05-15,MXN,21.806607
2025-05-14,USD,1.118162
2025-05-14,COP,4703.826909
2025-05-14,MXN,21.676348
2025-05-13,USD,1.118518
2025-05-13,COP,4710.919431
2025-05-13,MXN,21.708052
2025-05-12,USD,1.109502
2025-05-12,COP,4687.36998
2025-05-12,MXN,21.771759
2025-05-11,USD,1.122926
2025-05-11,COP,4770.977372
2025-05-11,MXN,21.834844
